Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BasketballScores.csproj,File,App_Code\Database.cs,276,16,T:System.Data.SqlClient.SqlParameter,,,,,"cmd.Parameters.AddWithValue(""@reb"", s.Rebounds);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BasketballScores.csproj,File,App_Code\Database.cs,276,16,"M:System.Data.SqlClient.SqlParameterCollection.AddWithValue(System.String,System.Object)",,,,,"cmd.Parameters.AddWithValue(""@reb"", s.Rebounds);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BasketballScores.csproj,File,App_Code\Database.cs,275,16,T:System.Data.SqlClient.SqlParameterCollection,,,,,"cmd.Parameters.AddWithValue(""@ast"", s.Assists);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BasketballScores.csproj,File,App_Code\Database.cs,275,16,P:System.Data.SqlClient.SqlCommand.Parameters,,,,,"cmd.Parameters.AddWithValue(""@ast"", s.Assists);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BasketballScores.csproj,File,App_Code\Database.cs,275,16,T:System.Data.SqlClient.SqlParameter,,,,,"cmd.Parameters.AddWithValue(""@ast"", s.Assists);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BasketballScores.csproj,File,App_Code\Database.cs,275,16,"M:System.Data.SqlClient.SqlParameterCollection.AddWithValue(System.String,System.Object)",,,,,"cmd.Parameters.AddWithValue(""@ast"", s.Assists);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BasketballScores.csproj,File,App_Code\Database.cs,274,16,T:System.Data.SqlClient.SqlParameterCollection,,,,,"cmd.Parameters.AddWithValue(""@err"", s.Errors);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BasketballScores.csproj,File,App_Code\Database.cs,274,16,P:System.Data.SqlClient.SqlCommand.Parameters,,,,,"cmd.Parameters.AddWithValue(""@err"", s.Errors);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BasketballScores.csproj,File,App_Code\Database.cs,274,16,T:System.Data.SqlClient.SqlParameter,,,,,"cmd.Parameters.AddWithValue(""@err"", s.Errors);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,BasketballScores.csproj,File,App_Code\Database.cs,274,16,"M:System.Data.SqlClient.SqlParameterCollection.AddWithValue(System.String,System.Object)",,,,,"cmd.Parameters.AddWithValue(""@err"", s.Errors);"
